Component,Publication Grant Number,Publication Consortium Name,Publication Theme Name,Publication Doi,Publication Journal,Pubmed Id,Pubmed Url,Publication Title,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility
PublicationView,CA210190,PS-ON,"Microenvironment, Metastasis, Tumor-Immune",https://doi.org/10.1002/sim.10256,Stat Med,39422157,https://pubmed.ncbi.nlm.nih.gov/39422157,Phase I/II Design for Selecting Subgroup-Specific Optimal Biological Doses for Prespecified Subgroups,2024,"Immunotherapy, Subgroups, Bayesian Design, Optimal Biological Dose, Spike And Slab","Sydney Porter, Thomas A Murray, Anne Eaton","We propose a phase I/II trial design to support dose-finding when the optimal biological dose (OBD) may differ in two prespecified patient subgroups. The proposed design uses a utility function to quantify efficacy-toxicity trade-offs, and a Bayesian model with spike and slab prior distributions for the subgroup effect on toxicity and efficacy to guide dosing and to facilitate identifying either subgroup-specific OBDs or a common OBD depending on the resulting trial data. In a simulation study, we find the proposed design performs nearly as well as a design that ignores subgroups when the dose-toxicity and dose-efficacy relationships are the same in both subgroups, and nearly as well as a design with independent dose-finding within each subgroup when these relationships differ across subgroups. In other words, the proposed adaptive design performs similarly to the design that would be chosen if investigators possessed foreknowledge about whether the dose-toxicity and/or dose-efficacy relationship differs across two prespecified subgroups. Thus, the proposed design may be effective for OBD selection when uncertainty exists about whether the OBD differs in two prespecified subgroups.",,,,,Open Access
PublicationView,CA250040,PS-ON,Tumor-Immune,https://doi.org/10.1038/s41467-024-52565-2,Nat Commun,39333505,https://pubmed.ncbi.nlm.nih.gov/39333505,Mechanical force regulates ligand binding and function of PD-1,2024,,"Kaitao Li, Paul Cardenas-Lizana, Jintian Lyu, Anna V Kellner, Menglan Li, Peiwen Cong, Valencia E Watson, Zhou Yuan, Eunseon Ahn, Larissa Doudy, Zhenhai Li, Khalid Salaita, Rafi Ahmed, Cheng Zhu","Despite the success of PD-1 blockade in cancer therapy, how PD-1 initiates signaling remains unclear. Soluble PD-L1 is found in patient sera and can bind PD-1 but fails to suppress T cell function. Here, we show that PD-1 function is reduced when mechanical support on ligand is removed. Mechanistically, cells exert forces to PD-1 and prolong bond lifetime at forces <7 pN (catch bond) while accelerate dissociation at forces >8pN (slip bond). Molecular dynamics of PD-1-PD-L2 complex suggests force may cause relative rotation and translation between the two molecules yielding distinct atomic contacts not observed in the crystal structure. Compared to wild-type, PD-1 mutants targeting the force-induced distinct interactions maintain the same binding affinity but suppressed/eliminated catch bond, lowered rupture force, and reduced inhibitory function. Our results uncover a mechanism for cells to probe the mechanical support of PD-1-PD-Ligand bonds using endogenous forces to regulate PD-1 signaling.",,,,,Open Access
PublicationView,,,,https://doi.org/10.1182/bloodadvances.2023012529,Blood Adv,38324726,https://pubmed.ncbi.nlm.nih.gov/38324726,Cysteine-binding adjuvant enhances survival and promotes immune function in a murine model of acute myeloid leukemia,2024,,"Anna J Slezak, Kevin Chang, Taryn N Beckman, Kirsten C Refvik, Aaron T Alpar, Abigail L Lauterbach, Ani Solanki, Jung Woo Kwon, Suzana Gomes, Aslan Mansurov, Jeffrey A Hubbell","Abstract: Therapeutic vaccination has long been a promising avenue for cancer immunotherapy but is often limited by tumor heterogeneity. The genetic and molecular diversity between patients often results in variation in the antigens present on cancer cell surfaces. As a result, recent research has focused on personalized cancer vaccines. Although promising, this strategy suffers from time-consuming production, high cost, inaccessibility, and targeting of a limited number of tumor antigens. Instead, we explore an antigen-agnostic polymeric in situ cancer vaccination platform for treating blood malignancies, in our model here with acute myeloid leukemia (AML). Rather than immunizing against specific antigens or targeting adjuvant to specific cell-surface markers, this platform leverages a characteristic metabolic and enzymatic dysregulation in cancer cells that produces an excess of free cysteine thiols on their surfaces. These thiols increase in abundance after treatment with cytotoxic agents such as cytarabine, the current standard of care in AML. The resulting free thiols can undergo efficient disulfide exchange with pyridyl disulfide (PDS) moieties on our construct and allow for in situ covalent attachment to cancer cell surfaces and debris. PDS-functionalized monomers are incorporated into a statistical copolymer with pendant mannose groups and TLR7 agonists to target covalently linked antigen and adjuvant to antigen-presenting cells in the liver and spleen after IV administration. There, the compound initiates an anticancer immune response, including T-cell activation and antibody generation, ultimately prolonging survival in cancer-bearing mice.",,,,,Open Access
PublicationView,CA217297,CSBC,"Epigenetics, Drug Resistance/Sensitivity",https://doi.org/10.1038/s41467-024-52440-0,Nat Commun,39333113,https://pubmed.ncbi.nlm.nih.gov/39333113,Integration of scHi-C and scRNA-seq data defines distinct 3D-regulated and biological-context dependent cell subpopulations,2024,,"Yufan Zhou, Tian Li, Lavanya Choppavarapu, Kun Fang, Shili Lin, Victor X Jin","An integration of 3D chromatin structure and gene expression at single-cell resolution has yet been demonstrated. Here, we develop a computational method, a multiomic data integration (MUDI) algorithm, which integrates scHi-C and scRNA-seq data to precisely define the 3D-regulated and biological-context dependent cell subpopulations or topologically integrated subpopulations (TISPs). We demonstrate its algorithmic utility on the publicly available and newly generated scHi-C and scRNA-seq data. We then test and apply MUDI in a breast cancer cell model system to demonstrate its biological-context dependent utility. We find the newly defined topologically conserved associating domain (CAD) is the characteristic single-cell 3D chromatin structure and better characterizes chromatin domains in single-cell resolution. We further identify 20 TISPs uniquely characterizing 3D-regulated breast cancer cellular states. We reveal two of TISPs are remarkably resemble to high cycling breast cancer persister cells and chromatin modifying enzymes might be functional regulators to drive the alteration of the 3D chromatin structures. Our comprehensive integration of scHi-C and scRNA-seq data in cancer cells at single-cell resolution provides mechanistic insights into 3D-regulated heterogeneity of developing drug-tolerant cancer cells.",,,,"GSE194308, GSE195610, GSE195611, GSE195810, GSE239435",Open Access
PublicationView,CA274499,CSBC,"Oncogenic Stress, Metabolism",https://doi.org/10.1016/j.jbc.2024.105669,J Biol Chem,38272221,https://pubmed.ncbi.nlm.nih.gov/38272221,Chromosomal passenger complex condensates generate parallel microtubule bundles in vitro,2024,"Chromosomal Instability, Aurora Kinase, Mitotic Spindle, Chromosomal Passenger Complex, Mtoc, Midzone, Inner Centromere","Ewa Niedzialkowska, Tan M Truong, Luke A Eldredge, Aamir Ali, Stefanie Redemann, P Todd Stukenberg","The mitotic spindle contains many bundles of microtubules (MTs) including midzones and kinetochore fibers, but little is known about how bundled structures are formed. Here, we show that the chromosomal passenger complex (CPC) purified from Escherichia coli undergoes liquid-liquid demixing in vitro. An emergent property of the resultant condensates is to generate parallel MT bundles when incubated with free tubulin and GTP in vitro. We demonstrate that MT bundles emerge from CPC droplets with protruding minus ends that then grow into long and tapered MT structures. During this growth, we found that the CPC in these condensates apparently reorganize to coat and bundle the resulting MT structures. CPC mutants attenuated for liquid-liquid demixing or MT binding prevented the generation of parallel MT bundles in vitro and reduced the number of MTs present at spindle midzones in HeLa cells. Our data demonstrate that an in vitro biochemical activity to produce MT bundles emerges after the concentration of the CPC and provides models for how cells generate parallel-bundled MT structures that are important for the assembly of the mitotic spindle. Moreover, these data suggest that cells contain MT-organizing centers that generate MT bundles that emerge with the opposite polarity from centrosomes.",,,,,Open Access
PublicationView,CA253540,CSBC,"Heterogeneity, Drug Resistance/Sensitivity",https://doi.org/10.1038/s41540-024-00345-5,NPJ Syst Biol Appl,38365857,https://pubmed.ncbi.nlm.nih.gov/38365857,Forum on immune digital twins: a meeting report,2024,,"Reinhard Laubenbacher, Fred Adler, Gary An, Filippo Castiglione, Stephen Eubank, Luis L Fonseca, James Glazier, Tomas Helikar, Marti Jett-Tilton, Denise Kirschner, Paul Macklin, Borna Mehrad, Beth Moore, Virginia Pasour, Ilya Shmulevich, Amber Smith, Isabel Voigt, Thomas E Yankeelov, Tjalf Ziemssen","Medical digital twins are computational models of human biology relevant to a given medical condition, which are tailored to an individual patient, thereby predicting the course of disease and individualized treatments, an important goal of personalized medicine. The immune system, which has a central role in many diseases, is highly heterogeneous between individuals, and thus poses a major challenge for this technology. In February 2023, an international group of experts convened for two days to discuss these challenges related to immune digital twins. The group consisted of clinicians, immunologists, biologists, and mathematical modelers, representative of the interdisciplinary nature of medical digital twin development. A video recording of the entire event is available. This paper presents a synopsis of the discussions, brief descriptions of ongoing digital twin projects at different stages of progress. It also proposes a 5-year action plan for further developing this technology. The main recommendations are to identify and pursue a small number of promising use cases, to develop stimulation-specific assays of immune function in a clinical setting, and to develop a database of existing computational immune models, as well as advanced modeling technology and infrastructure.",,,,,Open Access
PublicationView,CA228608,PDMC,"Metastasis, Method/Assay Development",https://doi.org/10.1126/sciadv.adk8801,Sci Adv,39485847,https://pubmed.ncbi.nlm.nih.gov/39485847,Pathogenic mitochondrial DNA mutations inhibit melanoma metastasis,2024,,"Spencer D Shelton, Sara House, Luiza Martins Nascentes Melo, Vijayashree Ramesh, Zhenkang Chen, Tao Wei, Xun Wang, Claire B Llamas, Siva Sai Krishna Venigalla, Cameron J Menezes, Gabriele Allies, Jonathan Krystkiewicz, Jonas Rösler, Sven W Meckelmann, Peihua Zhao, Florian Rambow, Dirk Schadendorf, Zhiyu Zhao, Jennifer G Gill, Ralph J DeBerardinis, Sean J Morrison, Alpaslan Tasdogan, Prashant Mishra","Mitochondrial DNA (mtDNA) mutations are frequent in cancer, yet their precise role in cancer progression remains debated. To functionally evaluate the impact of mtDNA variants on tumor growth and metastasis, we developed an enhanced cytoplasmic hybrid (cybrid) generation protocol and established isogenic human melanoma cybrid lines with wild-type mtDNA or pathogenic mtDNA mutations with partial or complete loss of mitochondrial oxidative function. Cybrids with homoplasmic levels of pathogenic mtDNA reliably established tumors despite dysfunctional oxidative phosphorylation. However, these mtDNA variants disrupted spontaneous metastasis from primary tumors and reduced the abundance of circulating tumor cells. Migration and invasion of tumor cells were reduced, indicating that entry into circulation is a bottleneck for metastasis amid mtDNA dysfunction. Pathogenic mtDNA did not inhibit organ colonization following intravenous injection. In heteroplasmic cybrid tumors, single-cell analyses revealed selection against pathogenic mtDNA during melanoma growth. Collectively, these findings experimentally demonstrate that functional mtDNA is favored during melanoma growth and supports metastatic entry into the blood.",,,,,Open Access
PublicationView,CA214411,TEC,"Heterogeneity, Microenvironment, Drug Resistance/Sensitivity",https://doi.org/10.1002/advs.202001447,Adv Sci (Weinh),33042756,https://pubmed.ncbi.nlm.nih.gov/33042756,Screening Cancer Immunotherapy: When Engineering Approaches Meet Artificial Intelligence,2020,"Artificial intelligence, Drug screening, Tissue engineering, Cancer Immunotherapy, High‐throughput Screening","Xingwu Zhou, Moyuan Qu, Peyton Tebon, Xing Jiang, Canran Wang, Yumeng Xue, Jixiang Zhu, Shiming Zhang, Rahmi Oklu, Shiladitya Sengupta, Wujin Sun, Ali Khademhosseini","Immunotherapy is a class of promising anticancer treatments that has recently gained attention due to surging numbers of FDA approvals and extensive preclinical studies demonstrating efficacy. Nevertheless, further clinical implementation has been limited by high variability in patient response to different immunotherapeutic agents. These treatments currently do not have reliable predictors of efficacy and may lead to side effects. The future development of additional immunotherapy options and the prediction of patient-specific response to treatment require advanced screening platforms associated with accurate and rapid data interpretation. Advanced engineering approaches ranging from sequencing and gene editing, to tumor organoids engineering, bioprinted tissues, and organs-on-a-chip systems facilitate the screening of cancer immunotherapies by recreating the intrinsic and extrinsic features of a tumor and its microenvironment. High-throughput platform development and progress in artificial intelligence can also improve the efficiency and accuracy of screening methods. Here, these engineering approaches in screening cancer immunotherapies are highlighted, and a discussion of the future perspectives and challenges associated with these emerging fields to further advance the clinical use of state-of-the-art cancer immunotherapies are provided.",,,,,Open Access
PublicationView,CA225088,CSBC,"Microenvironment, Drug Resistance/Sensitivity",https://doi.org/10.1016/j.devcel.2024.05.010,Dev Cell,38823395,https://pubmed.ncbi.nlm.nih.gov/38823395,Nucleotide depletion promotes cell fate transitions by inducing DNA replication stress,2024,"Metabolism, Differentiation, Nucleotides, Cancer, Replication, Hematopoiesis, Epigenetics, Cell Fate, Replication Stress, Dependencies, Cell State","Brian T Do, Peggy P Hsu, Sidney Y Vermeulen, Zhishan Wang, Taghreed Hirz, Keene L Abbott, Najihah Aziz, Joseph M Replogle, Stefan Bjelosevic, Jonathan Paolino, Samantha A Nelson, Samuel Block, Alicia M Darnell, Raphael Ferreira, Hanyu Zhang, Jelena Milosevic, Daniel R Schmidt, Christopher Chidley, Isaac S Harris, Jonathan S Weissman, Yana Pikman, Kimberly Stegmaier, Sihem Cheloufi, Xiaofeng A Su, David B Sykes, Matthew G Vander Heiden","Control of cellular identity requires coordination of developmental programs with environmental factors such as nutrient availability, suggesting that perturbing metabolism can alter cell state. Here, we find that nucleotide depletion and DNA replication stress drive differentiation in human and murine normal and transformed hematopoietic systems, including patient-derived acute myeloid leukemia (AML) xenografts. These cell state transitions begin during S phase and are independent of ATR/ATM checkpoint signaling, double-stranded DNA break formation, and changes in cell cycle length. In systems where differentiation is blocked by oncogenic transcription factor expression, replication stress activates primed regulatory loci and induces lineage-appropriate maturation genes despite the persistence of progenitor programs. Altering the baseline cell state by manipulating transcription factor expression causes replication stress to induce genes specific for alternative lineages. The ability of replication stress to selectively activate primed maturation programs across different contexts suggests a general mechanism by which changes in metabolism can promote lineage-appropriate cell state transitions.",,,,"GSE211065, GSE172335, GSE172296, GSE172299, GSE262392, GSE172300, GSE172333",Open Access
PublicationView,CA253547,CSBC,Tumor-Immune,https://doi.org/10.1158/2159-8290.cd-24-0604,Cancer Discov,39363746,https://pubmed.ncbi.nlm.nih.gov/39363746,Transforming Cancer Research through Informatics,2024,,"Juli D Klemm, Dinah S Singer, Jill P Mesirov","For more than three decades, concurrent advances in laboratory technologies and computer science have driven the rise of cancer informatics. Today, software tools for cancer research are indispensable to the entire cancer research enterprise.",,,,,Open Access
PublicationView,CA268069,CCBIR,"Immunotherapy, Microenvironment, Platform Development, Tumor-Immune",https://doi.org/10.3390/metabo14100550,Metabolites,39452931,https://pubmed.ncbi.nlm.nih.gov/39452931,Multi-Modal Investigation of Metabolism in Murine Breast Cancer Cell Lines Using Fluorescence Lifetime Microscopy and Hyperpolarized 13C-Pyruvate Magnetic Resonance Spectroscopy,2024,"Metabolism, Breast cancer, Metastatic potential, Flim, Mrs, Hyperpolarized, Carbon-13","Sarah Erickson-Bhatt, Benjamin L Cox, Erin Macdonald, Jenu V Chacko, Paul Begovatz, Patricia J Keely, Suzanne M Ponik, Kevin W Eliceiri, Sean B Fain","<b>Background/Objectives</b>: Despite the role of metabolism in breast cancer metastasis, we still cannot predict which breast tumors will progress to distal metastatic lesions or remain dormant. This work uses metabolic imaging to study breast cancer cell lines (4T1, 4T07, and 67NR) with differing metastatic potential in a 3D collagen gel bioreactor system. <b>Methods</b>: Within the bioreactor, hyperpolarized magnetic resonance spectroscopy (HP-MRS) is used to image lactate/pyruvate ratios, while fluorescence lifetime imaging microscopy (FLIM) of endogenous metabolites measures metabolism at the cellular scale. <b>Results</b>: HP-MRS results showed no lactate peak for 67NR and a comparatively large lactate/pyruvate ratio for both 4T1 and 4T07 cell lines, suggestive of greater pyruvate utilization with greater metastatic potential. Similar patterns were observed using FLIM with significant increases in FAD intensity, redox ratio, and NAD(P)H lifetime. The lactate/pyruvate ratio was strongly correlated to NAD(P)H lifetime, consistent with the role of NADH as an electron donor for the glycolytic pathway, suggestive of an overall upregulation of metabolism (both glycolytic and oxidative), for the 4T07 and 4T1 cell lines compared to the non-metastatic 67NR cell line. <b>Conclusions</b>: These findings support a complementary role for HP-MRS and FLIM enabled by a novel collagen gel bioreactor system to investigate metastatic potential and cancer metabolism.",,,,,Open Access
PublicationView,CA253540,CSBC,"Heterogeneity, Drug Resistance/Sensitivity",https://doi.org/10.1038/s41540-024-00441-6,NPJ Syst Biol Appl,39420005,https://pubmed.ncbi.nlm.nih.gov/39420005,Computational identification of surface markers for isolating distinct subpopulations from heterogeneous cancer cell populations,2024,,"Andrea L Gardner, Tyler A Jost, Daylin Morgan, Amy Brock","Intratumor heterogeneity reduces treatment efficacy and complicates our understanding of tumor progression and there is a pressing need to understand the functions of heterogeneous tumor cell subpopulations within a tumor, yet systems to study these processes in vitro are limited. Single-cell RNA sequencing (scRNA-seq) has revealed that some cancer cell lines include distinct subpopulations. Here, we present clusterCleaver, a computational package that uses metrics of statistical distance to identify candidate surface markers maximally unique to transcriptomic subpopulations in scRNA-seq which may be used for FACS isolation. With clusterCleaver, ESAM and BST2/tetherin were experimentally validated as surface markers which identify and separate major transcriptomic subpopulations within MDA-MB-231 and MDA-MB-436 cells, respectively. clusterCleaver is a computationally efficient and experimentally validated workflow for identification of surface markers for tracking and isolating transcriptomically distinct subpopulations within cell lines. This tool paves the way for studies on coexisting cancer cell subpopulations in well-defined in vitro systems.",,,,,Open Access
PublicationView,CA225566,PS-ON,Microenvironment,https://doi.org/10.1039/d4sm00683f,Soft Matter,39105242,https://pubmed.ncbi.nlm.nih.gov/39105242,Rethinking nuclear shaping: insights from the nuclear drop model,2024,,"Richard B Dickinson, Samere Abolghasemzade, Tanmay P Lele","Changes in the nuclear shape caused by cellular shape changes are generally assumed to reflect an elastic deformation from a spherical nuclear shape. Recent evidence, however, suggests that the nuclear lamina, which forms the outer nuclear surface together with the nuclear envelope, possesses more area than that of a sphere of the same volume. This excess area manifests as folds/wrinkles in the nuclear surface in rounded cells and allows facile nuclear flattening during cell spreading without any changes in nuclear volume or surface area. When the lamina becomes smooth and taut, it is inextensible, and supports a surface tension. At this point, it is possible to mathematically calculate the limiting nuclear shape purely based on geometric considerations. In this paper, we provide a commentary on the ""nuclear drop model"" which seeks to integrate the above features. We outline its testable physical properties and explore its biological implications.",,,,,Open Access
PublicationView,CA282451,TEC,"Microenvironment, Experimental Model Development",https://doi.org/10.1002/adhm.202402571,Adv Healthc Mater,39498750,https://pubmed.ncbi.nlm.nih.gov/39498750,3D-Printed Polymeric Biomaterials for Health Applications. ,2024,,"Yuxiang Zhu, Shenghan Guo, Dharneedar Ravichandran, Arunachalam Ramanathan, M Taylor Sobczak, Alaina F Sacco, Dhanush Patil, Sri Vaishnavi Thummalapalli, Tiffany V Pulido, Jessica N Lancaster, Johnny Yi, Jeffrey L Cornella, David G Lott, Xiangfan Chen, Xuan Mei, Yu Shrike Zhang, Linbing Wang, Xianqiao Wang, Yiping Zhao, Mohammad K Hassan, Lindsay B Chambers, Taylor G Theobald, Sui Yang, Liang Liang, Kenan Song","3D printing, also known as additive manufacturing, holds immense potential for rapid prototyping and customized production of functional health-related devices. With advancements in polymer chemistry and biomedical engineering, polymeric biomaterials have become integral to 3D-printed biomedical applications. However, there still exists a bottleneck in the compatibility of polymeric biomaterials with different 3D printing methods, as well as intrinsic challenges such as limited printing resolution and rates. Therefore, this review aims to introduce the current state-of-the-art in 3D-printed functional polymeric health-related devices. It begins with an overview of the landscape of 3D printing techniques, followed by an examination of commonly used polymeric biomaterials. Subsequently, examples of 3D-printed biomedical devices are provided and classified into categories such as biosensors, bioactuators, soft robotics, energy storage systems, self-powered devices, and data science in bioplotting. The emphasis is on exploring the current capabilities of 3D printing in manufacturing polymeric biomaterials into desired geometries that facilitate device functionality and studying the reasons for material choice. Finally, an outlook with challenges and possible improvements in the near future is presented, projecting the contribution of general 3D printing and polymeric biomaterials in the field of healthcare.",,,,,Open Access
PublicationView,CA245313,TEC,"Microenvironment, Metastasis, Drug Resistance/Sensitivity",https://doi.org/10.1016/j.cell.2024.09.001,Cell,39353436,https://pubmed.ncbi.nlm.nih.gov/39353436,Spatially exploring RNA biology in archival formalin-fixed paraffin-embedded tissues,2024,"Spatiotemporal dynamics, Histopathology, MicroRNA, Whole Transcriptome, Rna Biology, Splicing Isoforms, Spatial Omics, Clinical Ffpe Tissue, Single-nucleotide Rna Variants","Zhiliang Bai, Dingyao Zhang, Yan Gao, Bo Tao, Daiwei Zhang, Shuozhen Bao, Archibald Enninful, Yadong Wang, Haikuo Li, Graham Su, Xiaolong Tian, Ningning Zhang, Yang Xiao, Yang Liu, Mark Gerstein, Mingyao Li, Yi Xing, Jun Lu, Mina L Xu, Rong Fan","The capability to spatially explore RNA biology in formalin-fixed paraffin-embedded (FFPE) tissues holds transformative potential for histopathology research. Here, we present pathology-compatible deterministic barcoding in tissue (Patho-DBiT) by combining in situ polyadenylation and computational innovation for spatial whole transcriptome sequencing, tailored to probe the diverse RNA species in clinically archived FFPE samples. It permits spatial co-profiling of gene expression and RNA processing, unveiling region-specific splicing isoforms, and high-sensitivity transcriptomic mapping of clinical tumor FFPE tissues stored for 5 years. Furthermore, genome-wide single-nucleotide RNA variants can be captured to distinguish malignant subclones from non-malignant cells in human lymphomas. Patho-DBiT also maps microRNA regulatory networks and RNA splicing dynamics, decoding their roles in spatial tumorigenesis. Single-cell level Patho-DBiT dissects the spatiotemporal cellular dynamics driving tumor clonal architecture and progression. Patho-DBiT stands poised as a valuable platform to unravel rich RNA biology in FFPE tissues to aid in clinical pathology evaluation.",,,,,Open Access
PublicationView,CA224013,PDMC,"Heterogeneity, Microenvironment",https://doi.org/10.1158/2159-8290.cd-23-1529,Cancer Discov,39058094,https://pubmed.ncbi.nlm.nih.gov/39058094,MARK2/MARK3 kinases are catalytic co-dependencies of YAP/TAZ in human cancer,2024,,"Olaf Klingbeil, Damianos Skopelitis, Claudia Tonelli, Toyoki Yoshimoto, Aktan Alpsoy, Maria C Panepinto, Francesca Minicozzi, Joseph R Merrill, Amanda M Cafiero, Disha Aggarwal, Suzanne Russo, Taehoon Ha, Osama E Demerdash, Tse-Luen Wee, David L Spector, Scott K Lyons, David A Tuveson, Paolo Cifani, Christopher R Vakoc","The Hippo signaling pathway is commonly dysregulated in human cancer, which leads to a powerful tumor dependency on the YAP/TAZ transcriptional coactivators. Here, we used paralog co-targeting CRISPR screens to identify the kinases MARK2/3 as absolute catalytic requirements for YAP/TAZ function in diverse carcinoma and sarcoma contexts. Underlying this observation is direct MARK2/3-dependent phosphorylation of NF2 and YAP/TAZ, which effectively reverses the tumor suppressive activity of the Hippo module kinases LATS1/2. To simulate targeting of MARK2/3, we adapted the CagA protein from H. pylori as a catalytic inhibitor of MARK2/3, which we show can regress established tumors in vivo. Together, these findings reveal MARK2/3 as powerful co-dependencies of YAP/TAZ in human cancer; targets that may allow for pharmacology that restores Hippo pathway-mediated tumor suppression.",,,,"GSE242516, GSE242517, GSE241897",Open Access
