Component,Publication Grant Number,Publication Consortium Name,Publication Theme Name,Publication Doi,Publication Journal,Pubmed Id,Pubmed Url,Publication Title,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility
PublicationView,CA235747,PDMC,"Experimental Model Development, Metastasis, Microenvironment, Drug Resistance/Sensitivity",10.1007/s10555-023-10109-y,Cancer Metastasis Rev,37286865,https://pubmed.ncbi.nlm.nih.gov/37286865,Epigenetic markers and therapeutic targets for metastasis,2023,"Plasticity, Metastasis, Circulating Tumor Cells, Epigenetic Biomarkers, Epi-drugs","Carolyn J Kravitz, Qin Yan, Don X Nguyen","The last few years have seen an increasing number of discoveries which collectively demonstrate that histone and DNA modifying enzyme modulate different stages of metastasis. Moreover, epigenomic alterations can now be measured at multiple scales of analysis and are detectable in human tumors or liquid biopsies. Malignant cell clones with a proclivity for relapse in certain organs may arise in the primary tumor as a consequence of epigenomic alterations which cause a loss in lineage integrity. These alterations may occur due to genetic aberrations acquired during tumor progression or concomitant to therapeutic response. Moreover, evolution of the stroma can also alter the epigenome of cancer cells. In this review, we highlight current knowledge with a particular emphasis on leveraging chromatin and DNA modifying mechanisms as biomarkers of disseminated disease and as therapeutic targets to treat metastatic cancers.",Targeted Therapy Agent,Pan-cancer,Not Applicable,Not Appicable,Open Access
PublicationView,"CA268069, CA210190","PS-ON, CCBIR","Immunotherapy, Microenvironment, Metastasis, Platform Development, Tumor-Immune",10.1016/j.xpro.2023.102135,STAR Protoc,36861840,https://pubmed.ncbi.nlm.nih.gov/36861840,Protocol to culture and image pancreatic ductal adenocarcinoma tumor slices to study T cell migration,2023,"Cell biology, Cancer, Microscopy, immunology","Nelson J Rodríguez-Merced, Mackenzie K Callaway, Paolo P Provenzano","Here, we describe a protocol for culture and live cell imaging of tumor slices. This approach studies carcinoma and immune cell dynamics in complex tumor microenvironments (TME) with nonlinear optical imaging platforms. Using a tumor-bearing mouse model of pancreatic ductal adenocarcinoma (PDA), we detail steps to isolate, activate, and label CD8<sup>+</sup> T lymphocytes and later introduce them to live murine PDA tumor slice explants. The techniques described in this protocol can improve our understanding of cell migration in complex microenvironments ex vivo. For complete details on the use and execution of this protocol, please refer to Tabdanov et al. (2021).<sup>1</sup>.","Imaging, Time Lapse Microscopy",Pancreatic Ductal Adenocarcinoma,Pancreas,Not Appicable,Open Access
PublicationView,CA232161,CSBC,Heterogeneity,10.1038/s41467-023-42445-6,Nat Commun,37853017,https://pubmed.ncbi.nlm.nih.gov/37853017,Paired yeast one-hybrid assays to detect DNA-binding cooperativity and antagonism across transcription factors,2023,,"Anna Berenson, Ryan Lane, Luis F Soto-Ugaldi, Mahir Patel, Cosmin Ciausu, Zhaorong Li, Yilin Chen, Sakshi Shah, Clarissa Santoso, Xing Liu, Kerstin Spirohn, Tong Hao, David E Hill, Marc Vidal, Juan I Fuxman Bass","Cooperativity and antagonism between transcription factors (TFs) can drastically modify their binding to regulatory DNA elements. While mapping these relationships between TFs is important for understanding their context-specific functions, existing approaches either rely on DNA binding motif predictions, interrogate one TF at a time, or study individual TFs in parallel. Here, we introduce paired yeast one-hybrid (pY1H) assays to detect cooperativity and antagonism across hundreds of TF-pairs at DNA regions of interest. We provide evidence that a wide variety of TFs are subject to modulation by other TFs in a DNA region-specific manner. We also demonstrate that TF-TF relationships are often affected by alternative isoform usage and identify cooperativity and antagonism between human TFs and viral proteins from human papillomaviruses, Epstein-Barr virus, and other viruses. Altogether, pY1H assays provide a broadly applicable framework to study how different functional relationships affect protein occupancy at regulatory DNA regions.","DNA Sequencing, ChIP-Seq",Pan-cancer,Not Applicable,PRJNA1015222,Open Access
PublicationView,CA241927,TEC,"Metastasis, Microenvironment",10.1016/j.ygeno.2023.110671,Genomics,37353093,https://pubmed.ncbi.nlm.nih.gov/37353093,"Spatial transcriptomics: Technologies, applications and experimental considerations",2023,"Rna Sequencing, Spatial Transcriptomics, Merfish, Geomx Dsp, Stereo-seq, Cosmx Smi, Xienum, 10× Visium, Bmkmanu S1000","Ye Wang, Bin Liu, Gexin Zhao, YooJin Lee, Anton Buzdin, Xiaofeng Mu, Joseph Zhao, Hong Chen, Xinmin Li","The diverse cell types of an organ have a highly structured organization to enable their efficient and correct function. To fully appreciate gene functions in a given cell type, one needs to understand how much, when and where the gene is expressed. Classic bulk RNA sequencing and popular single cell sequencing destroy cell structural organization and fail to provide spatial information. However, the spatial location of gene expression or of the cell in a complex tissue provides key clues to comprehend how the neighboring genes or cells cross talk, transduce signals and work together as a team to complete the job. The functional requirement for the spatial content has been a driving force for rapid development of the spatial transcriptomics technologies in the past few years. Here, we present an overview of current spatial technologies with a special focus on the commercially available or currently being commercialized technologies, highlight their applications by category and discuss experimental considerations for a first spatial experiment.","Visium Spatial Gene Expression, Multiplexed Error-Robust Fluorescence In Situ Hybridization",Pan-cancer,Not Applicable,Not Appicable,Open Access
PublicationView,CA243072,CSBC,Drug Resistance/Sensitivity,10.3324/haematol.2023.283225,Haematologica,37439336,https://pubmed.ncbi.nlm.nih.gov/37439336,Down syndrome and leukemia: from basic mechanisms to clinical advances,2023,,"Andre Baruchel, Jean-Pierre Bourquin, John Crispino, Sergi Cuartero, Henrik Hasle, Johann Hitzler, Jan-Henning Klusmann, Shai Izraeli, Andrew A Lane, Sebastien Malinge, Karen R Rabin, Irene Roberts, Sandra Ryeom, Sarah K Tasian, Elvin Wagenblast","Children with Down syndrome (DS, trisomy 21) are at a significantly higher risk of developing acute leukemia compared to the overall population. Many studies investigating the link between trisomy 21 and leukemia initiation and progression have been conducted over the last two decades. Despite improved treatment regimens and significant progress in iden - tifying genes on chromosome 21 and the mechanisms by which they drive leukemogenesis, there is still much that is unknown. A focused group of scientists and clinicians with expertise in leukemia and DS met in October 2022 at the Jérôme Lejeune Foundation in Paris, France for the 1st International Symposium on Down Syndrome and Leukemia. This meeting was held to discuss the most recent advances in treatment regimens and the biology underlying the initiation, progression, and relapse of acute lymphoblastic leukemia and acute myeloid leukemia in children with DS. This review provides a summary of what is known in the field, challenges in the management of DS patients with leukemia, and key questions in the field.",Modeling,"B Acute Lymphoblastic Leukemia, Acute Lymphoblastic Leukemia, Myeloid Leukemia",Blood,Not Appicable,Open Access
PublicationView,CA214297,PS-ON,"Metastasis, Microenvironment",10.1038/s41586-023-06517-3,Nature,37880436,https://pubmed.ncbi.nlm.nih.gov/37880436,A microfluidic transistor for automatic control of liquids,2023,,"Kaustav A Gopinathan, Avanish Mishra, Baris R Mutlu, Jon F Edd, Mehmet Toner","Microfluidics have enabled notable advances in molecular biology<sup>1,2</sup>, synthetic chemistry<sup>3,4</sup>, diagnostics<sup>5,6</sup> and tissue engineering<sup>7</sup>. However, there has long been a critical need in the field to manipulate fluids and suspended matter with the precision, modularity and scalability of electronic circuits<sup>8-10</sup>. Just as the electronic transistor enabled unprecedented advances in the automatic control of electricity on an electronic chip, a microfluidic analogue to the transistor could enable improvements in the automatic control of reagents, droplets and single cells on a microfluidic chip. Previous works on creating a microfluidic analogue to the electronic transistor<sup>11-13</sup> did not replicate the transistor's saturation behaviour, and could not achieve proportional amplification<sup>14</sup>, which is fundamental to modern circuit design<sup>15</sup>. Here we exploit the fluidic phenomenon of flow limitation<sup>16</sup> to develop a microfluidic element capable of proportional amplification with flow-pressure characteristics completely analogous to the current-voltage characteristics of the electronic transistor. We then use this microfluidic transistor to directly translate fundamental electronic circuits into the fluidic domain, including the amplifier, regulator, level shifter, logic gate and latch. We also combine these building blocks to create more complex fluidic controllers, such as timers and clocks. Finally, we demonstrate a particle dispenser circuit that senses single suspended particles, performs signal processing and accordingly controls the movement of each particle in a deterministic fashion without electronics. By leveraging the vast repertoire of electronic circuit design, microfluidic-transistor-based circuits enable fluidic automatic controllers to manipulate liquids and single suspended particles for lab-on-a-chip platforms.",Microfluidics,Pan-cancer,Not Applicable,Not Appicable,Open Access
PublicationView,CA209975,CSBC,"Metastasis, Drug Resistance/Sensitivity, Microenvironment, Tumor-Immune",10.1158/0008-5472.can-23-0153,Cancer Res,37526524,https://pubmed.ncbi.nlm.nih.gov/37526524,The Ratio of Key Metabolic Transcripts Is a Predictive Biomarker of Breast Cancer Metastasis to the Lung,2023,,"Deepti Mathur, Chen Liao, Wendy Lin, Alessandro La Ferlita, Salvatore Alaimo, Samuel Taylor, Yi Zhong, Christine Iacobuzio-Donahue, Alfredo Ferro, Joao B Xavier","Understanding the rewired metabolism underlying organ-specific metastasis in breast cancer could help identify strategies to improve the treatment and prevention of metastatic disease. Here, we used a systems biology approach to compare metabolic fluxes used by parental breast cancer cells and their brain- and lung-homing derivatives. Divergent lineages had distinct, heritable metabolic fluxes. Lung-homing cells maintained high glycolytic flux despite low levels of glycolytic intermediates, constitutively activating a pathway sink into lactate. This strong Warburg effect was associated with a high ratio of lactate dehydrogenase (LDH) to pyruvate dehydrogenase (PDH) expression, which correlated with lung metastasis in patients with breast cancer. Although feature classification models trained on clinical characteristics alone were unable to predict tropism, the LDH/PDH ratio was a significant predictor of metastasis to the lung but not to other organs, independent of other transcriptomic signatures. High lactate efflux was also a trait in lung-homing metastatic pancreatic cancer cells, suggesting that lactate production may be a convergent phenotype in lung metastasis. Together, these analyses highlight the essential role that metabolism plays in organ-specific cancer metastasis and identify a putative biomarker for predicting lung metastasis in patients with breast cancer. Significance: Lung-homing metastatic breast cancer cells express an elevated ratio of lactate dehydrogenase to pyruvate dehydrogenase, indicating that ratios of specific metabolic gene transcripts have potential as metabolic biomarkers for predicting organ-specific metastasis.","Cell Culture, ELISA, Gas Chromatography Mass Spectrometry",Breast Neoplasm,Not Applicable,Not Appicable,Open Access
PublicationView,CA215845,CSBC,"Heterogeneity, Drug Resistance/Sensitivity",10.1016/j.ccell.2020.12.014,Cancer Cell,33482121,https://pubmed.ncbi.nlm.nih.gov/33482121,Patterns of transcription factor programs and immune pathway activation define four major subtypes of SCLC with distinct therapeutic vulnerabilities,2021,"Neuroendocrine, Emt, SCLC, Ascl1, Intratumoral Heterogeneity, Neurod1, Pou2f3","Carl M Gay, C Allison Stewart, Elizabeth M Park, Lixia Diao, Sarah M Groves, Simon Heeke, Barzin Y Nabet, Junya Fujimoto, Luisa M Solis, Wei Lu, Yuanxin Xi, Robert J Cardnell, Qi Wang, Giulia Fabbri, Kasey R Cargill, Natalie I Vokes, Kavya Ramkumar, Bingnan Zhang, Carminia M Della Corte, Paul Robson, Stephen G Swisher, Jack A Roth, Bonnie S Glisson, David S Shames, Ignacio I Wistuba, Jing Wang, Vito Quaranta, John Minna, John V Heymach, Lauren Averett Byers","Despite molecular and clinical heterogeneity, small cell lung cancer (SCLC) is treated as a single entity with predictably poor results. Using tumor expression data and non-negative matrix factorization, we identify four SCLC subtypes defined largely by differential expression of transcription factors ASCL1, NEUROD1, and POU2F3 or low expression of all three transcription factor signatures accompanied by an Inflamed gene signature (SCLC-A, N, P, and I, respectively). SCLC-I experiences the greatest benefit from the addition of immunotherapy to chemotherapy, while the other subtypes each have distinct vulnerabilities, including to inhibitors of PARP, Aurora kinases, or BCL-2. Cisplatin treatment of SCLC-A patient-derived xenografts induces intratumoral shifts toward SCLC-I, supporting subtype switching as a mechanism of acquired platinum resistance. We propose that matching baseline tumor subtype to therapy, as well as manipulating subtype switching on therapy, may enhance depth and duration of response for SCLC patients.","Western Blotting, Flow Cytometry, Single Cell RNA-Sequencing",Lung Small Cell Carcinoma,Lung,"GSE151904, GSE138474",Open Access
PublicationView,CA217450,CSBC,"Heterogeneity, Microenvironment, Drug Resistance/Sensitivity",10.3389/fimmu.2022.936129,Front Immunol,36059502,https://pubmed.ncbi.nlm.nih.gov/36059502,MuSyC dosing of adjuvanted cancer vaccines optimizes antitumor responses,2022,"Cancer vaccine, Antigen presenting cell, Activation Markers, T-cell Priming, Tlr7/8 Agonist, Sting Agonists, Antitumor/cytotoxic Activity, Multidimensional Synergy Of Combinations (Musyc)","David Taylor, Christian T Meyer, Diana Graves, Rupashree Sen, Juan Fu, Emily Tran, Bilal Mirza, Gabriel Rodriguez, Cara Lang, Hanwen Feng, Vito Quaranta, John T Wilson, Young J Kim, Michael J Korrer","With the clinical approval of T-cell-dependent immune checkpoint inhibitors for many cancers, therapeutic cancer vaccines have re-emerged as a promising immunotherapy. Cancer vaccines require the addition of immunostimulatory adjuvants to increase vaccine immunogenicity, and increasingly multiple adjuvants are used in combination to bolster further and shape cellular immunity to tumor antigens. However, rigorous quantification of adjuvants' synergistic interactions is challenging due to partial redundancy in costimulatory molecules and cytokine production, leading to the common assumption that combining both adjuvants at the maximum tolerated dose results in optimal efficacy. Herein, we examine this maximum dose assumption and find combinations of these doses are suboptimal. Instead, we optimized dendritic cell activation by extending the Multidimensional Synergy of Combinations (MuSyC) framework that measures the synergy of efficacy and potency between two vaccine adjuvants. Initially, we performed a preliminary <i>in vitro</i> screening of clinically translatable adjuvant receptor targets (TLR, STING, NLL, and RIG-I). We determined that STING agonist (CDN) plus TLR4 agonist (MPL-A) or TLR7/8 agonist (R848) as the best pairwise combinations for dendritic cell activation. In addition, we found that the combination of R848 and CDN is synergistically efficacious and potent in activating both murine and human antigen-presenting cells (APCs) <i>in vitro</i>. These two selected adjuvants were then used to estimate a MuSyC-dose optimized for <i>in vivo</i> T-cell priming using ovalbumin-based peptide vaccines. Finally, using B16 melanoma and MOC1 head and neck cancer models, MuSyC-dose-based adjuvating of cancer vaccines improved the antitumor response, increased tumor-infiltrating lymphocytes, and induced novel myeloid tumor infiltration changes. Further, the MuSyC-dose-based adjuvants approach did not cause additional weight changes or increased plasma cytokine levels compared to CDN alone. Collectively, our findings offer a proof of principle that our MuSyC-extended approach can be used to optimize cancer vaccine formulations for immunotherapy.","Flow Cytometry, In Vitro Cell Killing Assay","Head and Neck Squamous Cell Carcinoma, Melanoma, Acute Monocytic Leukemia",Not Applicable,Not Appicable,Open Access
PublicationView,"CA215845, CA217450",CSBC,"Heterogeneity, Microenvironment, Drug Resistance/Sensitivity",10.3389/fonc.2020.01426,Front Oncol,32923395,https://pubmed.ncbi.nlm.nih.gov/32923395,Drug-Tolerant Idling Melanoma Cells Exhibit Theory-Predicted Metabolic Low-Low Phenotype,2020,"Melanoma, Metabolism, Drug tolerance, Idling, Low-Low","Dongya Jia, B Bishal Paudel, Corey E Hayford, Keisha N Hardeman, Herbert Levine, José N Onuchic, Vito Quaranta","Cancer cells adjust their metabolic profiles to evade treatment. Metabolic adaptation is complex and hence better understood by an integrated theoretical-experimental approach. Using a minimal kinetic model, we predicted a previously undescribed Low/Low (L/L) phenotype, characterized by low oxidative phosphorylation (OXPHOS) and low glycolysis. Here, we report that L/L metabolism is observed in <i>BRAF</i>-mutated melanoma cells that enter a drug-tolerant ""idling state"" upon long-term MAPK inhibition (MAPKi). Consistently, using publicly available RNA-sequencing data of both cell lines and patient samples, we show that melanoma cells decrease their glycolysis and/or OXPHOS activity upon MAPKi and converge toward the L/L phenotype. L/L metabolism is unfavorable for tumor growth, yet supports successful cell division at ~50% rate. Thus, L/L drug-tolerant idling cells are a reservoir for accumulating mutations responsible for relapse, and it should be considered as a target subpopulation for improving MAPKi outcomes in melanoma treatment.","Mathematical Modeling, RNA Sequencing",Melanoma,Skin,Not Appicable,Open Access
PublicationView,CA209971,CSBC,"Metastasis, Microenvironment, Tumor-Immune",10.1038/s41586-019-0988-7,Nature,30814731,https://pubmed.ncbi.nlm.nih.gov/30814731,Structure of the IFNγ receptor complex guides design of biased agonists,2019,,"Juan L Mendoza, Nichole K Escalante, Kevin M Jude, Junel Sotolongo Bellon, Leon Su, Tim M Horton, Naotaka Tsutsumi, Steven J Berardinelli, Robert S Haltiwanger, Jacob Piehler, Edgar G Engleman, K Christopher Garcia","The cytokine interferon-γ (IFNγ) is a central coordinator of innate and adaptive immunity, but its highly pleiotropic actions have diminished its prospects for use as an immunotherapeutic agent. Here, we took a structure-based approach to decoupling IFNγ pleiotropy. We engineered an affinity-enhanced variant of the ligand-binding chain of the IFNγ receptor IFNγR1, which enabled us to determine the crystal structure of the complete hexameric (2:2:2) IFNγ-IFNγR1-IFNγR2 signalling complex at 3.25 Å resolution. The structure reveals the mechanism underlying deficits in IFNγ responsiveness in mycobacterial disease syndrome resulting from a T168N mutation in IFNγR2, which impairs assembly of the full signalling complex. The topology of the hexameric complex offers a blueprint for engineering IFNγ variants to tune IFNγ receptor signalling output. Unexpectedly, we found that several partial IFNγ agonists exhibited biased gene-expression profiles. These biased agonists retained the ability to induce upregulation of major histocompatibility complex class I antigen expression, but exhibited impaired induction of programmed death-ligand 1 expression in a wide range of human cancer cell lines, offering a route to decoupling immunostimulatory and immunosuppressive functions of IFNγ for therapeutic applications.","Mass Spectrometry, Next Generation Sequencing, Surface Plasmon Resonance",Pan-cancer,Not Applicable,GSE122672,Open Access
PublicationView,CA215845,CSBC,"Heterogeneity, Drug Resistance/Sensitivity",10.1101/gad.348295.121,Genes Dev,34016693,https://pubmed.ncbi.nlm.nih.gov/34016693,ASCL1 represses a SOX9<sup>+</sup> neural crest stem-like state in small cell lung cancer,2021,"Neuroendocrine, Lung cancer, Plasticity, small cell lung cancer, Mouse Models, SCLC, Ascl1, Cell Of Origin","Rachelle R Olsen, Abbie S Ireland, David W Kastner, Sarah M Groves, Kyle B Spainhower, Karine Pozo, Demetra P Kelenis, Christopher P Whitney, Matthew R Guthrie, Sarah J Wait, Danny Soltero, Benjamin L Witt, Vito Quaranta, Jane E Johnson, Trudy G Oliver","ASCL1 is a neuroendocrine lineage-specific oncogenic driver of small cell lung cancer (SCLC), highly expressed in a significant fraction of tumors. However, ∼25% of human SCLC are ASCL1-low and associated with low neuroendocrine fate and high MYC expression. Using genetically engineered mouse models (GEMMs), we show that alterations in <i>Rb1/Trp53/Myc</i> in the mouse lung induce an ASCL1<sup>+</sup> state of SCLC in multiple cells of origin. Genetic depletion of ASCL1 in MYC-driven SCLC dramatically inhibits tumor initiation and progression to the NEUROD1<sup>+</sup> subtype of SCLC. Surprisingly, ASCL1 loss promotes a SOX9<sup>+</sup> mesenchymal/neural crest stem-like state and the emergence of osteosarcoma and chondroid tumors, whose propensity is impacted by cell of origin. ASCL1 is critical for expression of key lineage-related transcription factors NKX2-1, FOXA2, and INSM1 and represses genes involved in the Hippo/Wnt/Notch developmental pathways in vivo. Importantly, ASCL1 represses a SOX9/RUNX1/RUNX2 program in vivo and SOX9 expression in human SCLC cells, suggesting a conserved function for ASCL1. Together, in a MYC-driven SCLC model, ASCL1 promotes neuroendocrine fate and represses the emergence of a SOX9<sup>+</sup> nonendodermal stem-like fate that resembles neural crest.","Cell Culture, Cell Proliferation Assay, Whole Exome Sequencing, Single Cell RNA-Sequencing, RNA Sequencing, Gene Ontology Enrichment Analysis, Mathematical Modeling",Lung Non-Small Cell Carcinoma,Lung,"GSE150084, PRJNA631050, PRJNA632351",Open Access
PublicationView,CA217450,CSBC,"Heterogeneity, Microenvironment, Drug Resistance/Sensitivity",10.1371/journal.pbio.3000797,PLoS Biol,34061819,https://pubmed.ncbi.nlm.nih.gov/34061819,"An in vitro model of tumor heterogeneity resolves genetic, epigenetic, and stochastic sources of cell state variability",2021,,"Corey E Hayford, Darren R Tyson, C Jack Robbins, Peter L Frick, Vito Quaranta, Leonard A Harris","Tumor heterogeneity is a primary cause of treatment failure and acquired resistance in cancer patients. Even in cancers driven by a single mutated oncogene, variability in response to targeted therapies is well known. The existence of additional genomic alterations among tumor cells can only partially explain this variability. As such, nongenetic factors are increasingly seen as critical contributors to tumor relapse and acquired resistance in cancer. Here, we show that both genetic and nongenetic factors contribute to targeted drug response variability in an experimental model of tumor heterogeneity. We observe significant variability to epidermal growth factor receptor (EGFR) inhibition among and within multiple versions and clonal sublines of PC9, a commonly used EGFR mutant nonsmall cell lung cancer (NSCLC) cell line. We resolve genetic, epigenetic, and stochastic components of this variability using a theoretical framework in which distinct genetic states give rise to multiple epigenetic ""basins of attraction,"" across which cells can transition driven by stochastic noise. Using mutational impact analysis, single-cell differential gene expression, and correlations among Gene Ontology (GO) terms to connect genomics to transcriptomics, we establish a baseline for genetic differences driving drug response variability among PC9 cell line versions. Applying the same approach to clonal sublines, we conclude that drug response variability in all but one of the sublines is due to epigenetic differences; in the other, it is due to genetic alterations. Finally, using a clonal drug response assay together with stochastic simulations, we attribute subclonal drug response variability within sublines to stochastic cell fate decisions and confirm that one subline likely contains genetic resistance mutations that emerged in the absence of drug treatment.","Cell Culture, Flow Cytometry, Immunohistochemistry Staining Method, RT-qPCR",Melanoma,Skin,"GSE150083, GSE150084, GSE150025",Open Access
PublicationView,CA253248,TEC,"Immunotherapy, Platform Development, Microenvironment, Tumor-Immune",10.1126/sciadv.abe4362,Sci Adv,33762337,https://pubmed.ncbi.nlm.nih.gov/33762337,Lymphangiogenesis-inducing vaccines elicit potent and long-lasting T cell immunity against melanomas,2021,,"Maria Stella Sasso, Nikolaos Mitrousis, Yue Wang, Priscilla S Briquez, Sylvie Hauert, Jun Ishihara, Jeffrey A Hubbell, Melody A Swartz","In melanoma, the induction of lymphatic growth (lymphangiogenesis) has long been correlated with metastasis and poor prognosis, but we recently showed it can synergistically enhance cancer immunotherapy and boost T cell immunity. Here, we develop a translational approach for exploiting this ""lymphangiogenic potentiation"" of immunotherapy in a cancer vaccine using lethally irradiated tumor cells overexpressing vascular endothelial growth factor C (VEGF-C) and topical adjuvants. Our ""VEGFC vax"" induced extensive local lymphangiogenesis and promoted stronger T cell activation in both the intradermal vaccine site and draining lymph nodes, resulting in higher frequencies of antigen-specific T cells present systemically than control vaccines. In mouse melanoma models, VEGFC vax elicited potent tumor-specific T cell immunity and provided effective tumor control and long-term immunological memory. Together, these data introduce the potential of lymphangiogenesis induction as a novel immunotherapeutic strategy to consider in cancer vaccine design.","Flow Cytometry, Immunohistochemistry Staining Method, RT-qPCR",Melanoma,Skin ,Not Applicable,Open Access
PublicationView,CA253248,TEC,"Immunotherapy, Platform Development, Microenvironment, Tumor-Immune",10.1038/s41467-019-14127-9,Nat Commun,31988323,https://pubmed.ncbi.nlm.nih.gov/31988323,Lymphatic endothelial cells prime naïve CD8<sup>+</sup> T cells into memory cells under steady-state conditions,2020,,"Efthymia Vokali, Shann S Yu, Sachiko Hirosue, Marcela Rinçon-Restrepo, Fernanda V Duraes, Stefanie Scherer, Patricia Corthésy-Henrioud, Witold W Kilarski, Anna Mondino, Dietmar Zehn, Stéphanie Hugues, Melody A Swartz","Lymphatic endothelial cells (LECs) chemoattract naïve T cells and promote their survival in the lymph nodes, and can cross-present antigens to naïve CD8<sup>+</sup> T cells to drive their proliferation despite lacking key costimulatory molecules. However, the functional consequence of LEC priming of CD8<sup>+</sup> T cells is unknown. Here, we show that while many proliferating LEC-educated T cells enter early apoptosis, the remainders comprise a long-lived memory subset, with transcriptional, metabolic, and phenotypic features of central memory and stem cell-like memory T cells. In vivo, these memory cells preferentially home to lymph nodes and display rapid proliferation and effector differentiation following memory recall, and can protect mice against a subsequent bacterial infection. These findings introduce a new immunomodulatory role for LECs in directly generating a memory-like subset of quiescent yet antigen-experienced CD8<sup>+</sup> T cells that are long-lived and can rapidly differentiate into effector cells upon inflammatory antigenic challenge.","Flow Cytometry, RT-qPCR, RNA Sequencing",Pan-cancer,Not Applicable,GSE88830,Open Access
PublicationView,CA253248,TEC,"Immunotherapy, Platform Development, Microenvironment, Tumor-Immune",10.3389/fbioe.2020.00019,Front Bioeng Biotechnol,32117911,https://pubmed.ncbi.nlm.nih.gov/32117911,Engineering Targeting Materials for Therapeutic Cancer Vaccines,2020,"Vaccines, Cancer, Immunotherapy, Immunoengineering, Targeting Strategies, Material Engineering","Priscilla S Briquez, Sylvie Hauert, Alexandre de Titta, Laura T Gray, Aaron T Alpar, Melody A Swartz, Jeffrey A Hubbell","Therapeutic cancer vaccines constitute a valuable tool to educate the immune system to fight tumors and prevent cancer relapse. Nevertheless, the number of cancer vaccines in the clinic remains very limited to date, highlighting the need for further technology development. Recently, cancer vaccines have been improved by the use of materials, which can strongly enhance their intrinsic properties and biodistribution profile. Moreover, vaccine efficacy and safety can be substantially modulated through selection of the site at which they are delivered, which fosters the engineering of materials capable of targeting cancer vaccines to specific relevant sites, such as within the tumor or within lymphoid organs, to further optimize their immunotherapeutic effects. In this review, we aim to give the reader an overview of principles and current strategies to engineer therapeutic cancer vaccines, with a particular focus on the use of site-specific targeting materials. We will first recall the goal of therapeutic cancer vaccination and the type of immune responses sought upon vaccination, before detailing key components of cancer vaccines. We will then present how materials can be engineered to enhance the vaccine's pharmacokinetic and pharmacodynamic properties. Finally, we will discuss the rationale for site-specific targeting of cancer vaccines and provide examples of current targeting technologies.","Targeted Therapy Agent, Immunotherapy",Pan-cancer,Not Applicable,Not Applicable,Open Access
