Component,Publication Grant Number,Publication Doi,Publication Journal,Pubmed Id,Pubmed Url,Publication Title,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility,PublicationView_id,Id,entityId
PublicationView,CA232382,10.3390/cancers16020257,Cancers (Basel),38254748,https://pubmed.ncbi.nlm.nih.gov/38254748,Testing Adaptive Therapy Protocols Using Gemcitabine and Capecitabine in a Preclinical Model of Endocrine-Resistant Breast Cancer,2024,"High-dose Therapy, Adaptive Therapy, Drug-resistant And Drug-sensitive Subclones, Endocrine-resistant Mcf7 Breast Cancer","Sareh Seyedi, Ruthanne Teo, Luke Foster, Daniel Saha, Lida Mina, Donald Northfelt, Karen S Anderson, Darryl Shibata, Robert Gatenby, Luis H Cisneros, Brigid Troan, Alexander R A Anderson, Carlo C Maley","Adaptive therapy, an ecologically inspired approach to cancer treatment, aims to overcome resistance and reduce toxicity by leveraging competitive interactions between drug-sensitive and drug-resistant subclones, prioritizing patient survival and quality of life instead of killing the maximum number of cancer cells. In preparation for a clinical trial, we used endocrine-resistant MCF7 breast cance(Read more on Pubmed)",Computational Modeling,Breast Neoplasm       ,Breast,Not Applicable,Open Access,38254748,080cbfff-f207-424e-83c7-0953b109b870,syn52565154
PublicationView,CA232382,10.3390/cancers14215225,Cancers (Basel),36358643,https://pubmed.ncbi.nlm.nih.gov/36358643,A Phase 1b Adaptive Androgen Deprivation Therapy Trial in Metastatic Castration Sensitive Prostate Cancer,2022,"Androgen deprivation therapy, prostate cancer, Abiraterone, Enzalutamide, Adaptive Therapy, Apalutamide","Jingsong Zhang, Jill Gallaher, Jessica J Cunningham, Jung W Choi, Filip Ionescu, Monica S Chatwal, Rohit Jain, Youngchul Kim, Liang Wang, Joel S Brown, Alexander R Anderson, Robert A Gatenby",Background: We hypothesize that cancer survival can be improved through adapting treatment strategies to cancer evolutionary dynamics and conducted a phase 1b study in metastatic castration sensitive prostate cancer (mCSPC). Methods: Men with asymptomatic mCSPC were enrolled and proceeded with a treatment break after achieving > 75% PSA decline with LHRH analog plus an NHA. ADT was restarted at th(Read more on Pubmed),Clinical Study,Prostate Carcinoma       ,Prostate,Not Applicable,Open Access,36358643,b551743c-e849-477c-910d-4d8db1560ff5,syn52565154
PublicationView,CA232382,10.7554/elife.76284,Elife,35762577,https://pubmed.ncbi.nlm.nih.gov/35762577,Evolution-based mathematical models significantly prolong response to abiraterone in metastatic castrate-resistant prostate cancer and identify strategies to further improve outcomes,2022,"Mathematical models, Human, Medicine, Evolutionary Biology, Metastatic Prostate Cancer, Cancer Evolution, Adaptive Therapy","Jingsong Zhang, Jessica Cunningham, Joel Brown, Robert Gatenby","Background: Abiraterone acetate is an effective treatment for metastatic castrate-resistant prostate cancer (mCRPC), but evolution of resistance inevitably leads to progression. We present a pilot study in which abiraterone dosing is guided by evolution-informed mathematical models to delay onset of resistance. Methods: In the study cohort, abiraterone was stopped when PSA was <50% of pretreatment(Read more on Pubmed)",Mathematical Modeling,Prostate Carcinoma       ,Prostate,Not Applicable,Open Access,35762577,fb164dfe-ccdd-451d-a090-a3b2a11e111a,syn52565154
PublicationView,CA232382,10.3389/fgene.2022.921447,Front Genet,36092893,https://pubmed.ncbi.nlm.nih.gov/36092893,Evolutionary selection identifies critical immune-relevant genes in lung cancer subtypes,2022,"Gene conservation, Immune Evasion, Cancer Immunology, Cancer Evolution, Evolutionary Triage","Kimberly A Luddy, Jamie K Teer, Audrey Freischel, Cliona O'Farrelly, Robert Gatenby","In an evolving population, proliferation is dependent on fitness so that a numerically dominant population typically possesses the most well adapted phenotype. In contrast, the evolutionary ""losers"" typically disappear from the population so that their genetic record is lost. Historically, cancer research has focused on observed genetic mutations in the dominant tumor cell populations which presum(Read more on Pubmed)",Modeling,Lung Adenocarcinoma       ,Lung,Not Applicable,Open Access,36092893,af006984-8eec-45a9-be19-a247a5ba882d,syn52565154
PublicationView,CA232382,10.1016/j.mbs.2022.108909,Math Biosci,36108797,https://pubmed.ncbi.nlm.nih.gov/36108797,A simulation of parental and glycolytic tumor phenotype competition predicts observed responses to pH changes and increased glycolysis after anti-VEGF therapy,2022,"Acidosis, Anti-vegf, Warburg Effect, Buffer Therapy","Frederika Rentzeperis, Naomi Miller, Arig Ibrahim-Hashim, Robert J Gillies, Robert A Gatenby, Dorothy Wallace","Clinical cancers are typically spatially and temporally heterogeneous, containing multiple microenvironmental habitats and diverse phenotypes and/or genotypes, which can interact through resource competition and direct or indirect interference. A common intratumoral evolutionary pathway, probably initiated as adaptation to hypoxia, leads to the ""Warburg phenotype"" which maintains high glycolytic r(Read more on Pubmed)",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access,36108797,086f957b-e2c5-4c7e-b2ca-5ab755cac08d,syn52565154
PublicationView,CA232382,10.1038/s41416-020-01110-1,Br J Cancer,33024265,https://pubmed.ncbi.nlm.nih.gov/33024265,Artificial selection for host resistance to tumour growth and subsequent cancer cell adaptations: an evolutionary arms race,2021,,"Arig Ibrahim-Hashim, Kimberly Luddy, Dominique Abrahams, Pedro Enriquez-Navas, Sultan Damgaci, Jiqiang Yao, Tingan Chen, Marilyn M Bui, Robert J Gillies, Cliona O'Farrelly, Christina L Richards, Joel S Brown, Robert A Gatenby","Background: Cancer progression is governed by evolutionary dynamics in both the tumour population and its host. Since cancers die with the host, each new population of cancer cells must reinvent strategies to overcome the host's heritable defences. In contrast, host species evolve defence strategies over generations if tumour development limits procreation. Methods: We investigate this ""evolutiona(Read more on Pubmed)","Cell Culture, Flow Cytometry, Confocal Microscopy, Bioluminescence Imaging, RT-qPCR       ",Lung Carcinoma       ,Not Applicable,Not Applicable,Open Access,33024265,05291d47-f79b-4d20-a71c-0d4b2be6d741,syn52565154
PublicationView,CA232382,10.1111/eva.12973,Evol Appl,32952610,https://pubmed.ncbi.nlm.nih.gov/32952610,Integrating genetic and nongenetic drivers of somatic evolution during carcinogenesis: The biplane model,2020,"Fitness function, carcinogenesis, Somatic Evolution, Biplane Model Of Carcinogenesis","Robert A Gatenby, Stanislav Avdieiev, Kenneth Y Tsai, Joel S Brown","The multistep transition from a normal to a malignant cellular phenotype is often termed ""somatic evolution"" caused by accumulating random mutations. Here, we propose an alternative model in which the initial genetic state of a cancer cell is the result of mutations that occurred throughout the lifetime of the host. However, these mutations are not carcinogenic because normal cells in multicellula(Read more on Pubmed)",Modeling,Pan-cancer,Not Applicable,Not Applicable,Open Access,32952610,f240db5c-954c-441b-a2fc-5e809bae90de,syn52565154
PublicationView,CA232382,10.1371/journal.pcbi.1007672,PLoS Comput Biol,32101537,https://pubmed.ncbi.nlm.nih.gov/32101537,From cells to tissue: How cell scale heterogeneity impacts glioblastoma growth and treatment response,2020,,"Jill A Gallaher, Susan C Massey, Andrea Hawkins-Daarud, Sonal S Noticewala, Russell C Rockne, Sandra K Johnston, Luis Gonzalez-Cuyar, Joseph Juliano, Orlando Gil, Kristin R Swanson, Peter Canoll, Alexander R A Anderson","Glioblastomas are aggressive primary brain tumors known for their inter- and intratumor heterogeneity. This disease is uniformly fatal, with intratumor heterogeneity the major reason for treatment failure and recurrence. Just like the nature vs nurture debate, heterogeneity can arise from intrinsic or environmental influences. Whilst it is impossible to clinically separate observed behavior of cel(Read more on Pubmed)",Mathematical Modeling,Glioblastoma,Brain,Not Applicable,Open Access,32101537,eb14da07-3ea0-4a51-bc32-5160f404bc23,syn52565154
PublicationView,CA232382,10.1101/cshperspect.a040972,Cold Spring Harb Perspect Med,33139405,https://pubmed.ncbi.nlm.nih.gov/33139405,The Evolution and Ecology of Resistance in Cancer Therapy,2020,,"Robert A Gatenby, Joel S Brown","Despite the continuous deployment of new treatment strategies and agents over many decades, most disseminated cancers remain fatal. Cancer cells, through their access to the vast information of the human genome, have a remarkable capacity to deploy adaptive strategies for even the most effective treatments. We note there are two critical steps in the clinical manifestation of treatment resistance.(Read more on Pubmed)",Clinical Study,Pan-cancer,Not Applicable,Not Applicable,Open Access,33139405,2fc701d4-80b5-431e-b6d1-c85a36c52b06,syn52565154
PublicationView,CA232382,10.1158/0008-5472.can-19-1941,Cancer Res,31772037,https://pubmed.ncbi.nlm.nih.gov/31772037,Eradicating Metastatic Cancer and the Eco-Evolutionary Dynamics of Anthropocene Extinctions,2020,,"Robert A Gatenby, Yael Artzy-Randrup, Tamir Epstein, Damon R Reed, Joel S Brown","Curative therapy for metastatic cancers is equivalent to causing extinction of a large, heterogeneous, and geographically dispersed population. Although eradication of dinosaurs is a dramatic example of extinction dynamics, similar application of massive eco-evolutionary force in cancer treatment is typically limited by host toxicity. Here, we investigate the evolutionary dynamics of Anthropocene (Read more on Pubmed)",Mathematical Modeling,Pan-cancer,Not Applicable,Not Applicable,Open Access,31772037,86ce6101-7ec1-4333-a373-e80022a9a65b,syn52565154
PublicationView,CA232382,10.1103/physreve.102.042404,Phys Rev E,33212726,https://pubmed.ncbi.nlm.nih.gov/33212726,Comparative study between discrete and continuum models for the evolution of competing phenotype-structured cell populations in dynamical environments,2020,,"Aleksandra ArdaÅ¡eva, Alexander R A Anderson, Robert A Gatenby, Helen M Byrne, Philip K Maini, Tommaso Lorenzi",Deterministic continuum models formulated as nonlocal partial differential equations for the evolutionary dynamics of populations structured by phenotypic traits have been used recently to address open questions concerning the adaptation of asexual species to periodically fluctuating environmental conditions. These models are usually defined on the basis of population-scale phenomenological assump(Read more on Pubmed),Pending Annotation,Pending Annotation,Pending Annotation,Pending Annotation,Restricted Access,33212726,698252c6-8b1d-4305-b546-5ec80e5de9da,syn52565154
PublicationView,CA232382,10.1038/s41571-020-0411-1,Nat Rev Clin Oncol,32699310,https://pubmed.ncbi.nlm.nih.gov/32699310,Integrating evolutionary dynamics into cancer therapy,2020,,"Robert A Gatenby, Joel S Brown","Many effective drugs for metastatic and/or advanced-stage cancers have been developed over the past decade, although the evolution of resistance remains the major barrier to disease control or cure. In large, diverse populations such as the cells that compose metastatic cancers, the emergence of cells that are resistant or that can quickly develop resistance is virtually inevitable and most likely(Read more on Pubmed)",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access,32699310,839841b8-bc6e-48cf-94f4-4e45d9364520,syn52565154
